TotalCost 24332
Route 1: 72 58 45 44 43 30 32 40 72 | Load 1828 | Cost 2318
Route 2: 72 60 47 46 20 21 6 22 37 24 25 38 72 | Load 1815 | Cost 2348
Route 3: 72 58 84 83 70 57 44 42 29 28 68 69 72 | Load 1809 | Cost 2336
Route 4: 72 61 48 74 61 62 49 75 76 89 111 72 | Load 1818 | Cost 2368
Route 5: 72 56 30 3 2 28 41 67 92 72 | Load 1798 | Cost 2568
Route 6: 72 82 81 80 79 93 94 66 42 68 75 72 | Load 1824 | Cost 2617
Route 7: 72 96 97 84 86 88 89 77 76 63 64 51 72 | Load 1787 | Cost 2237
Route 8: 72 98 97 110 111 114 116 101 72 | Load 1732 | Cost 2199
Route 9: 72 52 65 78 77 91 103 72 | Load 1800 | Cost 2247
Route 10: 72 38 11 26 25 117 116 72 | Load 1613 | Cost 2405
Route 11: 72 108 72 | Load 304 | Cost 689
