TotalCost 10955
Route 1: 1 2 3 2 4 5 4 69 58 55 52 1 | Load 304 | Cost 1118
Route 2: 1 2 4 69 59 58 57 42 57 35 41 55 52 1 | Load 304 | Cost 1096
Route 3: 1 58 60 61 60 62 63 65 63 62 66 62 54 1 | Load 304 | Cost 1138
Route 4: 1 59 11 12 16 13 14 13 16 12 11 9 10 20 54 21 1 | Load 305 | Cost 1103
Route 5: 1 44 43 44 45 44 46 47 48 47 49 50 49 21 1 | Load 301 | Cost 977
Route 6: 1 58 57 32 31 23 75 1 | Load 304 | Cost 1061
Route 7: 1 11 20 19 18 15 17 15 18 22 1 | Load 304 | Cost 1108
Route 8: 1 44 46 47 49 51 49 19 18 19 21 22 75 1 | Load 293 | Cost 1025
Route 9: 1 60 62 68 66 32 33 32 1 | Load 292 | Cost 1265
Route 10: 1 75 23 31 32 34 32 1 | Load 225 | Cost 1064
