TotalCost 37581
Route 1: 38 37 21 6 5 4 3 2 1 16 32 60 38 | Load 1633 | Cost 2045
Route 2: 38 52 39 23 22 21 20 6 19 49 41 38 | Load 1646 | Cost 2096
Route 3: 38 39 24 8 9 10 11 12 13 29 12 27 57 38 | Load 1628 | Cost 2146
Route 4: 38 51 50 49 48 34 33 16 18 66 38 | Load 1645 | Cost 2272
Route 5: 38 53 39 22 7 6 5 67 38 | Load 1641 | Cost 2125
Route 6: 38 53 54 40 24 9 44 23 38 | Load 1642 | Cost 2048
Route 7: 38 63 51 37 36 20 35 34 38 | Load 1640 | Cost 1949
Route 8: 38 65 54 41 25 9 26 25 40 39 38 | Load 1633 | Cost 1917
Route 9: 38 63 62 61 49 19 4 50 36 38 | Load 1634 | Cost 1971
Route 10: 38 55 41 56 42 26 27 67 38 | Load 1636 | Cost 2005
Route 11: 38 66 67 56 69 43 27 38 | Load 1587 | Cost 1917
Route 12: 38 65 64 63 50 61 60 38 | Load 1590 | Cost 1931
Route 13: 38 61 36 18 17 2 33 60 47 38 | Load 1630 | Cost 2602
Route 14: 38 42 43 45 29 28 58 38 | Load 1633 | Cost 2190
Route 15: 38 69 70 57 45 44 71 38 | Load 1602 | Cost 2160
Route 16: 38 27 14 15 31 30 38 | Load 1524 | Cost 2003
Route 17: 38 34 59 46 30 14 38 | Load 1509 | Cost 2402
Route 18: 38 58 71 30 47 38 | Load 1022 | Cost 1802
